,Date,SecurityId,CompanyId,Ticker,IsoCountryCode,Close
836,2024-03-05,BRK.B,44925,BRK/B UN Equity,US,400.74
837,2024-03-05,CMB,37965,JPM UN Equity,US,188.55
838,2024-03-05,MSFT,52712,MSFT UW Equity,US,402.65
839,2024-03-05,NVDA,53501,NVDA UW Equity,US,859.64
840,2024-03-05,XOM,25079,XOM UN Equity,US,105.64
841,2024-03-04,BRK.B,44925,BRK/B UN Equity,US,403.39
842,2024-03-04,CMB,37965,JPM UN Equity,US,186.68
843,2024-03-04,MSFT,52712,MSFT UW Equity,US,414.92
844,2024-03-04,NVDA,53501,NVDA UW Equity,US,852.37
845,2024-03-04,XOM,25079,XOM UN Equity,US,104.36
846,2024-03-01,BRK.B,44925,BRK/B UN Equity,US,407.11
847,2024-03-01,CMB,37965,JPM UN Equity,US,185.29
848,2024-03-01,MSFT,52712,MSFT UW Equity,US,415.5
849,2024-03-01,NVDA,53501,NVDA UW Equity,US,822.79
850,2024-03-01,XOM,25079,XOM UN Equity,US,105.84
851,2024-02-29,BRK.B,44925,BRK/B UN Equity,US,409.4
852,2024-02-29,CMB,37965,JPM UN Equity,US,186.06
853,2024-02-29,MSFT,52712,MSFT UW Equity,US,413.64
854,2024-02-29,NVDA,53501,NVDA UW Equity,US,791.12
855,2024-02-29,XOM,25079,XOM UN Equity,US,104.52
856,2024-02-28,BRK.B,44925,BRK/B UN Equity,US,412.14
857,2024-02-28,CMB,37965,JPM UN Equity,US,184.38
858,2024-02-28,MSFT,52712,MSFT UW Equity,US,407.72
859,2024-02-28,NVDA,53501,NVDA UW Equity,US,776.63
860,2024-02-28,XOM,25079,XOM UN Equity,US,104.32
861,2024-02-27,BRK.B,44925,BRK/B UN Equity,US,408.91
862,2024-02-27,CMB,37965,JPM UN Equity,US,183.45
863,2024-02-27,MSFT,52712,MSFT UW Equity,US,407.48
864,2024-02-27,NVDA,53501,NVDA UW Equity,US,787.01
865,2024-02-27,XOM,25079,XOM UN Equity,US,104.03
866,2024-02-26,BRK.B,44925,BRK/B UN Equity,US,409.14
867,2024-02-26,CMB,37965,JPM UN Equity,US,183.36
868,2024-02-26,MSFT,52712,MSFT UW Equity,US,407.54
869,2024-02-26,NVDA,53501,NVDA UW Equity,US,790.92
870,2024-02-26,XOM,25079,XOM UN Equity,US,104.25
871,2024-02-23,BRK.B,44925,BRK/B UN Equity,US,417.22
872,2024-02-23,CMB,37965,JPM UN Equity,US,183.99
873,2024-02-23,MSFT,52712,MSFT UW Equity,US,410.34
874,2024-02-23,NVDA,53501,NVDA UW Equity,US,788.17
875,2024-02-23,XOM,25079,XOM UN Equity,US,103.84
876,2024-02-22,BRK.B,44925,BRK/B UN Equity,US,415.16
877,2024-02-22,CMB,37965,JPM UN Equity,US,183.07
878,2024-02-22,MSFT,52712,MSFT UW Equity,US,411.65
879,2024-02-22,NVDA,53501,NVDA UW Equity,US,785.38
880,2024-02-22,XOM,25079,XOM UN Equity,US,104.76
881,2024-02-21,BRK.B,44925,BRK/B UN Equity,US,409.25
882,2024-02-21,CMB,37965,JPM UN Equity,US,180.9
883,2024-02-21,MSFT,52712,MSFT UW Equity,US,402.18
884,2024-02-21,NVDA,53501,NVDA UW Equity,US,674.72
885,2024-02-21,XOM,25079,XOM UN Equity,US,104.85
886,2024-02-20,BRK.B,44925,BRK/B UN Equity,US,407.15
887,2024-02-20,CMB,37965,JPM UN Equity,US,179.73
888,2024-02-20,MSFT,52712,MSFT UW Equity,US,402.79
889,2024-02-20,NVDA,53501,NVDA UW Equity,US,694.52
890,2024-02-20,XOM,25079,XOM UN Equity,US,102.75
891,2024-02-16,BRK.B,44925,BRK/B UN Equity,US,405.99
892,2024-02-16,CMB,37965,JPM UN Equity,US,179.03
893,2024-02-16,MSFT,52712,MSFT UW Equity,US,404.06
894,2024-02-16,NVDA,53501,NVDA UW Equity,US,726.13
895,2024-02-16,XOM,25079,XOM UN Equity,US,103.73
896,2024-02-15,BRK.B,44925,BRK/B UN Equity,US,403.45
897,2024-02-15,CMB,37965,JPM UN Equity,US,179.87
898,2024-02-15,MSFT,52712,MSFT UW Equity,US,406.56
899,2024-02-15,NVDA,53501,NVDA UW Equity,US,726.58
900,2024-02-15,XOM,25079,XOM UN Equity,US,103.73
901,2024-02-14,BRK.B,44925,BRK/B UN Equity,US,398.68
902,2024-02-14,CMB,37965,JPM UN Equity,US,176.03
903,2024-02-14,MSFT,52712,MSFT UW Equity,US,409.49
904,2024-02-14,NVDA,53501,NVDA UW Equity,US,739
905,2024-02-14,XOM,25079,XOM UN Equity,US,100.84
906,2024-02-13,BRK.B,44925,BRK/B UN Equity,US,394.8
907,2024-02-13,CMB,37965,JPM UN Equity,US,174.26
908,2024-02-13,MSFT,52712,MSFT UW Equity,US,406.32
909,2024-02-13,NVDA,53501,NVDA UW Equity,US,721.28
910,2024-02-13,XOM,25079,XOM UN Equity,US,101.34
911,2024-02-12,BRK.B,44925,BRK/B UN Equity,US,397.71
912,2024-02-12,CMB,37965,JPM UN Equity,US,175.79
913,2024-02-12,MSFT,52712,MSFT UW Equity,US,415.26
914,2024-02-12,NVDA,53501,NVDA UW Equity,US,722.48
915,2024-02-12,XOM,25079,XOM UN Equity,US,103.17
916,2024-02-09,BRK.B,44925,BRK/B UN Equity,US,398.36
917,2024-02-09,CMB,37965,JPM UN Equity,US,175.01
918,2024-02-09,MSFT,52712,MSFT UW Equity,US,420.55
919,2024-02-09,NVDA,53501,NVDA UW Equity,US,721.33
920,2024-02-09,XOM,25079,XOM UN Equity,US,101.77
921,2024-02-08,BRK.B,44925,BRK/B UN Equity,US,397.49
922,2024-02-08,CMB,37965,JPM UN Equity,US,174.8
923,2024-02-08,MSFT,52712,MSFT UW Equity,US,414.11
924,2024-02-08,NVDA,53501,NVDA UW Equity,US,696.41
925,2024-02-08,XOM,25079,XOM UN Equity,US,103.97
926,2024-02-07,BRK.B,44925,BRK/B UN Equity,US,397.66
927,2024-02-07,CMB,37965,JPM UN Equity,US,175.43
928,2024-02-07,MSFT,52712,MSFT UW Equity,US,414.05
929,2024-02-07,NVDA,53501,NVDA UW Equity,US,700.99
930,2024-02-07,XOM,25079,XOM UN Equity,US,102.22
931,2024-02-06,BRK.B,44925,BRK/B UN Equity,US,393.74
932,2024-02-06,CMB,37965,JPM UN Equity,US,175.1
933,2024-02-06,MSFT,52712,MSFT UW Equity,US,405.49
934,2024-02-06,NVDA,53501,NVDA UW Equity,US,682.23
935,2024-02-06,XOM,25079,XOM UN Equity,US,102.25
936,2024-02-05,BRK.B,44925,BRK/B UN Equity,US,390.76
937,2024-02-05,CMB,37965,JPM UN Equity,US,174.5
938,2024-02-05,MSFT,52712,MSFT UW Equity,US,405.65
939,2024-02-05,NVDA,53501,NVDA UW Equity,US,693.32
940,2024-02-05,XOM,25079,XOM UN Equity,US,101.55
941,2024-02-02,BRK.B,44925,BRK/B UN Equity,US,390.75
942,2024-02-02,CMB,37965,JPM UN Equity,US,174.73
943,2024-02-02,MSFT,52712,MSFT UW Equity,US,411.22
944,2024-02-02,NVDA,53501,NVDA UW Equity,US,661.6
